"decimalLatitude","decimalLongitude","eventDate","scientific_name","url","image_url"
40.48181179,14.94282142,2024-09-04,"Callinectes sapidus","https://www.inaturalist.org/observations/239842075","https://inaturalist-open-data.s3.amazonaws.com/photos/427219701/medium.jpeg"
40.4821657839,14.9454925954,2024-09-04,"Callinectes sapidus","https://www.inaturalist.org/observations/239813550","https://inaturalist-open-data.s3.amazonaws.com/photos/427166098/medium.jpeg"
40.3709454632,16.847294122,2024-09-04,"Callinectes sapidus","https://www.inaturalist.org/observations/239763794","https://static.inaturalist.org/photos/427074356/medium.jpeg"
45.2582931389,12.1886520278,2024-09-03,"Callinectes sapidus","https://www.inaturalist.org/observations/239653914","https://static.inaturalist.org/photos/426859104/medium.jpeg"
40.5491384888,17.0214619764,2024-08-27,"Callinectes sapidus","https://www.inaturalist.org/observations/239646494","https://inaturalist-open-data.s3.amazonaws.com/photos/426844171/medium.jpeg"
45.1163902222,12.3290853333,2024-09-03,"Callinectes sapidus","https://www.inaturalist.org/observations/239603657","https://static.inaturalist.org/photos/426769419/medium.jpeg"
45.6128128,12.9089696,2024-09-03,"Callinectes sapidus","https://www.inaturalist.org/observations/239585363","https://inaturalist-open-data.s3.amazonaws.com/photos/426734734/medium.jpeg"
39.7586222222,3.1692944444,2024-09-03,"Callinectes sapidus","https://www.inaturalist.org/observations/239562464","https://static.inaturalist.org/photos/426689747/medium.jpeg"
45.5903539997,12.8700551,2024-09-02,"Callinectes sapidus","https://www.inaturalist.org/observations/239374614","https://inaturalist-open-data.s3.amazonaws.com/photos/426322348/medium.jpeg"
45.5330138587,12.6435353234,2024-06-29,"Callinectes sapidus","https://www.inaturalist.org/observations/239192339","https://static.inaturalist.org/photos/425961988/medium.jpeg"
40.8392833333,25.9561533333,2024-02-25,"Callinectes sapidus","https://www.inaturalist.org/observations/239160645","https://inaturalist-open-data.s3.amazonaws.com/photos/425900601/medium.jpeg"
40.6942247076,0.7794475928,2024-09-01,"Callinectes sapidus","https://www.inaturalist.org/observations/239151247","https://inaturalist-open-data.s3.amazonaws.com/photos/425882004/medium.jpeg"
45.6209616667,12.9179633333,2024-08-18,"Callinectes sapidus","https://www.inaturalist.org/observations/239138397","https://inaturalist-open-data.s3.amazonaws.com/photos/425856210/medium.jpg"
45.4429283333,12.4112883333,2024-08-09,"Callinectes sapidus","https://www.inaturalist.org/observations/239041452","https://inaturalist-open-data.s3.amazonaws.com/photos/425663751/medium.jpeg"
44.6908293525,12.1795748547,2024-08-31,"Callinectes sapidus","https://www.inaturalist.org/observations/238931974","https://inaturalist-open-data.s3.amazonaws.com/photos/425455513/medium.jpeg"
